Ten,Dia chi,Loai,Lat,Lng,Tu khoa goc
Ward 2 District 5 Health Station,"157B Nguyễn Trãi, Phường 2, Quận 5, Thành phố Hồ Chí Minh, Việt Nam",Bệnh viện đa khoa,10.7572463,106.6787014,Bệnh viện Quận 5
Đội Cảnh Sát Giao Thông - Trật Tự - Cơ Động Quận 5,"946 Võ Văn Kiệt, Phường 5, Quận 5, Thành phố Hồ Chí Minh, Việt Nam",Văn phòng chính quyền địa phương,10.749663799999999,106.67315269999999,Đội Cảnh sát giao thông Quận 5
ĐỘI CHỈ HUY GIAO THÔNG VÀ ĐIỀU KHIỂN ĐÈN TÍN HIỆU GIAO THÔNG - PHÒNG CSGT ĐB ĐS TP. HỒ CHÍ MINH,"171 Đ. Nguyễn Biểu, Phường 2, Quận 5, Thành phố Hồ Chí Minh, Việt Nam",Văn phòng chính phủ,10.7566236,106.6832936,Đội Cảnh sát giao thông Quận 5
Đội CSGT Chợ Lớn,"81 Đ. Ngô Quyền, Phường 11, Quận 5, Thành phố Hồ Chí Minh, Việt Nam",Trạm cảnh sát giao thông,10.753526899999999,106.6664318,Đội Cảnh sát giao thông Quận 5
Phòng Công chứng số 2,"94-96 Đ. Ngô Quyền, Phường 7, Quận 5, Thành phố Hồ Chí Minh, Việt Nam",Công chứng viên,10.753497399999999,106.66673929999999,Phòng công chứng Quận 5
VĂN PHÒNG CÔNG CHỨNG CHỢ LỚN,"467 Đ. Hồng Bàng, Phường 14, Quận 5, Thành phố Hồ Chí Minh 70000, Việt Nam",Công chứng viên,10.753603199999999,106.6543794,Phòng công chứng Quận 5
Văn phòng Công chứng Hoàng Xuân Hoan,"187 An Dương Vương, Phường An Đông, Quận 5, Thành phố Hồ Chí Minh, Việt Nam",Công chứng viên,10.7562953,106.6688684,Phòng công chứng Quận 5
Văn phòng Thừa Phát Lại Quận 5,"805 Trần Hưng Đạo, Phường, Chợ Quán, Thành phố Hồ Chí Minh, Việt Nam",Người tống đạt trát tòa,10.755162799999999,106.6810189,Phòng công chứng Quận 5
Văn Phòng Công Chứng Phạm Trung Dũng-nay là Khúc Thanh,"184 Trần Hưng Đạo, Phường 7, Quận 5, Thành phố Hồ Chí Minh, Việt Nam",Văn phòng chính quyền địa phương,10.7526447,106.6667973,Phòng công chứng Quận 5
Phòng Công Chứng Số 5,"278 Đ.Nguyễn Văn Nghi, Phường 1, Gò Vấp, Thành phố Hồ Chí Minh, Việt Nam",Công chứng viên,10.8257627,106.68444439999999,Phòng công chứng Quận 5
Văn Phòng Công Chứng Nguyễn Văn Lâm,"426 Trần Hưng Đạo, Phường 11, Quận 5, Thành phố Hồ Chí Minh, Việt Nam",Công chứng viên,10.7521782,106.6594701,Phòng công chứng Quận 5
